clusters	ID1	ID2
1	TCGA-18-3406	110127_UNC9-SN296_0123_A81CV9ABXX_1_
2	TCGA-18-3407	110204_UNC9-SN296_0126_B81DD7ABXX_1_
3	TCGA-18-3408	110204_UNC9-SN296_0126_B81DD7ABXX_2_
3	TCGA-18-3409	110204_UNC9-SN296_0126_B81DD7ABXX_3_
1	TCGA-18-3410	110210_SN629_0059_A81LPWABXX_3_
2	TCGA-18-3411	110210_SN629_0059_A81LPWABXX_4_
2	TCGA-18-3412	110210_SN629_0059_A81LPWABXX_5_
1	TCGA-18-3414	110210_SN629_0059_A81LPWABXX_6_
1	TCGA-18-3415	110204_UNC9-SN296_0126_B81DD7ABXX_4_
2	TCGA-18-3416	110204_UNC9-SN296_0126_B81DD7ABXX_5_
3	TCGA-18-3417	110223_UNC9-SN296_0154_B81LPPABXX_1_
2	TCGA-18-3419	110204_UNC9-SN296_0126_B81DD7ABXX_6_
2	TCGA-18-3421	110204_UNC9-SN296_0126_B81DD7ABXX_7_
1	TCGA-18-4083	110210_SN629_0059_A81LPWABXX_7_
1	TCGA-18-4086	110210_SN629_0059_A81LPWABXX_8_
3	TCGA-18-4721	110223_UNC9-SN296_0154_B81LPPABXX_2_
1	TCGA-18-5592	110624_UNC14-SN744_0134_AD0CVTABXX_2_
2	TCGA-18-5595	110624_UNC14-SN744_0134_AD0CVTABXX_3_
2	TCGA-21-1070	110127_UNC9-SN296_0123_A81CV9ABXX_2_
1	TCGA-21-1071	110127_UNC9-SN296_0123_A81CV9ABXX_3_
2	TCGA-21-1076	110127_UNC9-SN296_0123_A81CV9ABXX_6_
2	TCGA-21-1077	110127_UNC9-SN296_0123_A81CV9ABXX_8_
1	TCGA-21-1078	110127_UNC9-SN296_0124_B81DUMABXX_1_
2	TCGA-21-1081	110829_UNC11-SN627_0147_AD0DFWABXX_1_
2	TCGA-21-5782	110624_UNC14-SN744_0134_AD0CVTABXX_4_
3	TCGA-21-5784	110624_UNC14-SN744_0134_AD0CVTABXX_5_
2	TCGA-21-5786	110624_UNC14-SN744_0134_AD0CVTABXX_6_
2	TCGA-21-5787	110624_UNC14-SN744_0134_AD0CVTABXX_7_
3	TCGA-22-0944	110209_SN627_0058_B81DH0ABXX_1_
1	TCGA-22-1002	110204_UNC9-SN296_0125_A81DV8ABXX_2_
2	TCGA-22-1011	110204_UNC9-SN296_0125_A81DV8ABXX_4_
2	TCGA-22-1012	110204_UNC9-SN296_0125_A81DV8ABXX_5_
3	TCGA-22-1016	110204_UNC9-SN296_0125_A81DV8ABXX_6_
1	TCGA-22-4591	110301_UNC9-SN296_0156_BB0432ABXX_2_
